
model_name,best_epoch,accuracy,precision,f1,early_stopped
tiny_vit_5m_224,10,0.6333333333333333,0.669358368347339,0.6088309581079325,True
volo_d1_224,5,0.8166666666666667,0.8452903091060986,0.8136678652652283,True
convformer_s36,4,0.7333333333333333,0.8057452574525745,0.7079497028792804,True
convnextv2_tiny,7,0.7583333333333333,0.785171568627451,0.7523518661256623,True
tiny_vit_11m_224,8,0.725,0.7556277056277056,0.7168650793650794,True
convit_base,9,0.6666666666666666,0.7173042825968358,0.6444350335654684,True
inception_next_small,4,0.6,0.7213414634146341,0.5406188516910777,True
visformer_small,4,0.6416666666666667,0.7296717171717172,0.6210984060984062,True
convmixer_768_32,9,0.5916666666666667,0.6287037037037037,0.5777489177489177,True
crossvit_small_240,2,0.625,0.718561872909699,0.5869892121608369,True
visformer_tiny,6,0.6916666666666667,0.7613795518207283,0.6738298519009727,True
vgg19,7,0.7,0.7657593739250086,0.7003511081852095,True
efficientformerv2_s0,12,0.6416666666666667,0.7329027355623101,0.6267135642135642,True
beitv2_base_patch16_224,10,0.6166666666666667,0.7228571428571429,0.5944298245614035,True
efficientvit_b0,11,0.625,0.7162936142198815,0.5850397579179484,True
deit3_base_patch16_224,4,0.6166666666666667,0.6829877112135176,0.609678372093994,True
densenet121,6,0.525,0.6530218933086648,0.48102579681527047,True
inception_resnet_v2,6,0.5666666666666667,0.6408843537414965,0.5341657990392168,True
deit_tiny_patch16_224,2,0.575,0.63406309892378,0.5695854410140124,True
resnext50_32x4d,18,0.6583333333333333,0.7501201201201201,0.6240737103953915,True
crossvit_9_240,7,0.6416666666666667,0.7232588075880759,0.6181626941133983,True
tinynet_a,8,0.48333333333333334,0.5381189047261815,0.46489174167900166,True
fastvit_s12,10,0.6,0.7076762523191095,0.5721690044474855,True
efficientnet_b0,1,0.425,0.4657608695652174,0.4111111111111111,True
